Sox17	Sox17	Gene Expression
Mrpl15	Mrpl15	Gene Expression
Lypla1	Lypla1	Gene Expression
Tcea1	Tcea1	Gene Expression
Atp6v1h	Atp6v1h	Gene Expression
Rb1cc1	Rb1cc1	Gene Expression
4732440D04Rik	4732440D04Rik	Gene Expression
St18	St18	Gene Expression
Pcmtd1	Pcmtd1	Gene Expression
Gm26901	Gm26901	Gene Expression
Rrs1	Rrs1	Gene Expression
Mybl1	Mybl1	Gene Expression
Vcpip1	Vcpip1	Gene Expression
Sgk3	Sgk3	Gene Expression
Mcmdc2	Mcmdc2	Gene Expression
Snhg6	Snhg6	Gene Expression
Ppp1r42	Ppp1r42	Gene Expression
Cops5	Cops5	Gene Expression
Cspp1	Cspp1	Gene Expression
Arfgef1	Arfgef1	Gene Expression
Cpa6	Cpa6	Gene Expression
Prex2	Prex2	Gene Expression
Sulf1	Sulf1	Gene Expression
Ncoa2	Ncoa2	Gene Expression
Tram1	Tram1	Gene Expression
Lactb2	Lactb2	Gene Expression
Eya1	Eya1	Gene Expression
Terf1	Terf1	Gene Expression
Sbspon	Sbspon	Gene Expression
Rpl7	Rpl7	Gene Expression
Rdh10	Rdh10	Gene Expression
Stau2	Stau2	Gene Expression
Ube2w	Ube2w	Gene Expression
Eloc	Eloc	Gene Expression
D030040B21Rik	D030040B21Rik	Gene Expression
Tmem70	Tmem70	Gene Expression
Ly96	Ly96	Gene Expression
Pi15	Pi15	Gene Expression
Crispld1	Crispld1	Gene Expression
Mcm3	Mcm3	Gene Expression
Paqr8	Paqr8	Gene Expression
Tram2	Tram2	Gene Expression
Tmem14a	Tmem14a	Gene Expression
Khdc1a	Khdc1a	Gene Expression
Kcnq5	Kcnq5	Gene Expression
Gm29107	Gm29107	Gene Expression
Ogfrl1	Ogfrl1	Gene Expression
B3gat2	B3gat2	Gene Expression
Smap1	Smap1	Gene Expression
Sdhaf4	Sdhaf4	Gene Expression
Fam135a	Fam135a	Gene Expression
Lmbrd1	Lmbrd1	Gene Expression
Phf3	Phf3	Gene Expression
Ptp4a1	Ptp4a1	Gene Expression
4931428L18Rik	4931428L18Rik	Gene Expression
Prim2	Prim2	Gene Expression
Rab23	Rab23	Gene Expression
Bag2	Bag2	Gene Expression
