RPS4Y1;ZFP36L2;EVL;CD3D;IL32,PTPRCAP;IL32;CD3D;CD7;GZMM,CD3D;GZMM;GZMA;NKG7;PRKCQ-AS1,LTB;CD27;RGCC;CCR7;AQP3,CCR7;LEF1;MAL;SOCS3;SLC2A3,CD14;S100A8;FOLR3;RNASE6;S100A12,MS4A1;LINC00926;VPREB3;FCER2;PKIG,CCR7;AIF1;RSL1D1;LEF1;PRKCQ-AS1
GP9;ITGA2B;LY6G6F;CLDN5;RP11-879F14.2,S100A9;S100A8;CD14;ASGR1;RBP7,CD79A;TCL1A;LINC00926;VPREB3;FCRLA,GZMB;IGFBP7;AKR1C3;HAVCR2;SH2D1B,NKG7;GZMH;CCL4;FGFBP2;GZMB,FCGR3A;CDKN1C;ADA;CKB;MS4A4A,FCER1A;CLEC10A;CD33;SERPINF1;ENHO,ANXA2;LGALS1;DOK2;ISG15;CORO1B
